,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
334,LP002706,Male,Yes,1,Not Graduate,No,5285,1430.0,161,360,0,Semiurban
335,LP002961,Male,Yes,1,Graduate,No,3400,2500.0,173,360,1,Semiurban
336,LP002197,Male,Yes,2,Graduate,No,5185,0.0,155,360,1,Semiurban
337,LP001698,Male,No,0,Not Graduate,No,3975,2531.0,55,360,1,Rural
338,LP002777,Male,Yes,0,Graduate,No,2785,2016.0,110,360,1,Rural
339,LP002768,Male,No,0,Not Graduate,No,3358,0.0,80,36,1,Semiurban
340,LP001994,Female,No,0,Graduate,No,2400,1863.0,104,360,0,Urban
341,LP001716,Male,Yes,0,Graduate,No,3173,3021.0,137,360,1,Urban
342,LP002723,Male,No,2,Graduate,No,3588,0.0,110,360,0,Rural
343,LP002407,Female,Yes,0,Not Graduate,Yes,7142,0.0,138,360,1,Rural
344,LP002332,Male,Yes,0,Not Graduate,No,2253,2033.0,110,360,1,Rural
345,LP001207,Male,Yes,0,Not Graduate,Yes,2609,3449.0,165,180,0,Rural
346,LP001608,Male,Yes,2,Graduate,No,2045,1619.0,101,360,1,Rural
347,LP001119,Male,No,0,Graduate,No,3600,0.0,80,360,1,Urban
348,LP002534,Female,No,0,Not Graduate,No,4350,0.0,154,360,1,Rural
349,LP002984,Male,Yes,2,Graduate,No,7583,0.0,187,360,1,Urban
350,LP001825,Male,Yes,0,Graduate,No,1809,1868.0,90,360,1,Urban
351,LP001243,Male,Yes,0,Graduate,No,3208,3066.0,172,360,1,Urban
352,LP002741,Female,Yes,1,Graduate,No,4608,2845.0,140,180,1,Semiurban
353,LP001849,Male,No,0,Not Graduate,No,6045,0.0,115,360,0,Rural
354,LP001657,Male,Yes,0,Not Graduate,No,6033,0.0,160,360,1,Urban
355,LP001073,Male,Yes,2,Not Graduate,No,4226,1040.0,110,360,1,Urban
356,LP001790,Female,No,1,Graduate,No,3812,0.0,112,360,1,Rural
357,LP001003,Male,Yes,1,Graduate,No,4583,1508.0,128,360,1,Rural
358,LP002587,Male,Yes,0,Not Graduate,No,2600,1700.0,107,360,1,Rural
359,LP001228,Male,No,0,Not Graduate,No,3200,2254.0,126,180,0,Urban
360,LP001570,Male,Yes,2,Graduate,No,4167,1447.0,158,360,1,Rural
361,LP002225,Male,Yes,2,Graduate,No,5391,0.0,130,360,1,Urban
362,LP001197,Male,Yes,0,Graduate,No,3366,2200.0,135,360,1,Rural
363,LP002795,Male,Yes,3+,Graduate,Yes,10139,0.0,260,360,1,Semiurban
364,LP001708,Female,No,0,Graduate,No,10000,0.0,214,360,1,Semiurban
365,LP002974,Male,Yes,0,Graduate,No,3232,1950.0,108,360,1,Rural
366,LP002300,Female,No,0,Not Graduate,No,1963,0.0,53,360,1,Semiurban
367,LP002983,Male,Yes,1,Graduate,No,8072,240.0,253,360,1,Urban
368,LP002296,Male,No,0,Not Graduate,No,2755,0.0,65,300,1,Rural
369,LP001439,Male,Yes,0,Not Graduate,No,4300,2014.0,194,360,1,Rural
370,LP001508,Male,Yes,2,Graduate,No,11757,0.0,187,180,1,Urban
371,LP002473,Male,Yes,0,Graduate,No,8334,0.0,160,360,1,Semiurban
372,LP002053,Male,Yes,3+,Graduate,No,4342,189.0,124,360,1,Semiurban
373,LP001248,Male,No,0,Graduate,No,3500,0.0,81,300,1,Semiurban
374,LP002619,Male,Yes,0,Not Graduate,No,3814,1483.0,124,300,1,Semiurban
375,LP002277,Female,No,0,Graduate,No,3180,0.0,71,360,0,Urban
376,LP002911,Male,Yes,1,Graduate,No,2787,1917.0,146,360,0,Rural
377,LP001401,Male,Yes,1,Graduate,No,14583,0.0,185,180,1,Rural
378,LP002484,Male,Yes,3+,Graduate,No,7740,0.0,128,180,1,Urban
379,LP002585,Male,Yes,0,Graduate,No,3597,2157.0,119,360,0,Rural
380,LP001841,Male,No,0,Not Graduate,Yes,2583,2167.0,104,360,1,Rural
381,LP002820,Male,Yes,0,Graduate,No,5923,2054.0,211,360,1,Rural
382,LP001744,Male,No,0,Graduate,No,2971,2791.0,144,360,1,Semiurban
383,LP001552,Male,Yes,0,Graduate,No,4583,5625.0,255,360,1,Semiurban
